,small_cap_stocks_with_abnormally_0,small_cap_stocks_with_abnormally_1,small_cap_stocks_with_abnormally_2
small_cap_stocks_with_abnormally_0,,,
small_cap_stocks_with_abnormally_1,,1.0,0.04469652773141661
small_cap_stocks_with_abnormally_2,,0.04469652773141661,1.0
