,HYPOTHESIS_short_term_reversal_a_0,HYPOTHESIS_short_term_reversal_a_1,HYPOTHESIS_short_term_reversal_a_2,HYPOTHESIS_short_term_reversal_a_3,HYPOTHESIS_short_term_reversal_a_4,HYPOTHESIS_short_term_reversal_a_5
HYPOTHESIS_short_term_reversal_a_0,1.0,,0.04077655134163827,,,0.04783184638887836
HYPOTHESIS_short_term_reversal_a_1,,,,,,
HYPOTHESIS_short_term_reversal_a_2,0.04077655134163827,,1.0,,,0.3022283448692885
HYPOTHESIS_short_term_reversal_a_3,,,,,,
HYPOTHESIS_short_term_reversal_a_4,,,,,,
HYPOTHESIS_short_term_reversal_a_5,0.04783184638887836,,0.3022283448692885,,,1.0
