,small_cap_liquidity_spikes_trigg_2,small_cap_liquidity_spikes_trigg_3,small_cap_liquidity_spikes_trigg_4,small_cap_liquidity_spikes_trigg_5
small_cap_liquidity_spikes_trigg_2,1.0,0.01367312121691677,0.00034650557785974957,0.006076997955739533
small_cap_liquidity_spikes_trigg_3,0.01367312121691677,1.0,0.003679951805353616,0.0009299964947846421
small_cap_liquidity_spikes_trigg_4,0.00034650557785974957,0.003679951805353616,1.0,0.0006039972808221444
small_cap_liquidity_spikes_trigg_5,0.006076997955739533,0.0009299964947846421,0.0006039972808221444,1.0
