,regime_confirmed_liquidity_rever_0,regime_confirmed_liquidity_rever_1,regime_confirmed_liquidity_rever_2,regime_confirmed_liquidity_rever_3,regime_confirmed_liquidity_rever_4,regime_confirmed_liquidity_rever_5
regime_confirmed_liquidity_rever_0,1.0,0.457670696296827,0.00018119596597847995,0.014987087333011864,0.29876120054413474,0.6694124843550574
regime_confirmed_liquidity_rever_1,0.457670696296827,1.0,0.00018709797432863936,0.1087389414872852,0.3551194421745004,0.5402049263985099
regime_confirmed_liquidity_rever_2,0.00018119596597847995,0.00018709797432863936,1.0,-8.399435106800909e-05,0.00011560403157993913,0.00019179871999381326
regime_confirmed_liquidity_rever_3,0.014987087333011864,0.1087389414872852,-8.399435106800909e-05,1.0,-0.046730011523197716,0.01652692940989398
regime_confirmed_liquidity_rever_4,0.29876120054413474,0.3551194421745004,0.00011560403157993913,-0.046730011523197716,1.0,0.36200666023742634
regime_confirmed_liquidity_rever_5,0.6694124843550574,0.5402049263985099,0.00019179871999381326,0.01652692940989398,0.36200666023742634,1.0
