,A_sudden_spike_in_the_rank_of_sm_0,A_sudden_spike_in_the_rank_of_sm_1,A_sudden_spike_in_the_rank_of_sm_2,A_sudden_spike_in_the_rank_of_sm_3,A_sudden_spike_in_the_rank_of_sm_4
A_sudden_spike_in_the_rank_of_sm_0,,,,,
A_sudden_spike_in_the_rank_of_sm_1,,,,,
A_sudden_spike_in_the_rank_of_sm_2,,,,,
A_sudden_spike_in_the_rank_of_sm_3,,,,,
A_sudden_spike_in_the_rank_of_sm_4,,,,,1.0
