,Small_cap_stocks_with_abnormally_2,Small_cap_stocks_with_abnormally_3
Small_cap_stocks_with_abnormally_2,1.0,-0.009993254778738227
Small_cap_stocks_with_abnormally_3,-0.009993254778738227,1.0
